Type;InternalType;Date;Symbol;Raw Symbol;Open;High;Low;Close;Settlement Price;Volume;Open Interest;Duration (ms)
Bar;1;2003/09/24 07:00:00.000;CAC 40;FCEU3^0;3062.9857252587044;3070.9088471895316;3056.9268673116007;3059.257197291256;3059.257197291256;12070;0;3600000
Bar;1;2003/09/24 08:00:00.000;CAC 40;FCEU3^0;3059.257197291256;3062.9857252587044;3052.2662073522906;3057.858999303463;3057.858999303463;7043;0;3600000
Bar;1;2003/09/24 09:00:00.000;CAC 40;FCEU3^0;3057.858999303463;3075.103441152911;3057.392933307532;3072.3070451773247;3072.3070451773247;4140;0;3600000
Bar;1;2003/09/24 10:00:00.000;CAC 40;FCEU3^0;3072.3070451773247;3075.103441152911;3064.3839232464975;3065.3160552383592;3065.3160552383592;5598;0;3600000
Bar;1;2003/09/24 11:00:00.000;CAC 40;FCEU3^0;3066.2481872302214;3077.433771132566;3063.4517912546353;3070.9088471895316;3070.9088471895316;5438;0;3600000
Bar;1;2003/09/24 12:00:00.000;CAC 40;FCEU3^0;3070.9088471895316;3072.3070451773247;3063.917857250566;3069.97671519767;3069.97671519767;9807;0;3600000
Bar;1;2003/09/24 13:00:00.000;CAC 40;FCEU3^0;3069.97671519767;3075.103441152911;3055.994735319739;3058.791131295325;3058.791131295325;10503;0;3600000
Bar;1;2003/09/24 14:00:00.000;CAC 40;FCEU3^0;3058.791131295325;3062.519659262773;3042.012755441808;3042.94488743367;3042.94488743367;17429;0;3600000
Bar;1;2003/09/24 15:00:00.000;CAC 40;FCEU3^0;3042.94488743367;3051.3340753604284;3040.614557454015;3042.012755441808;3042.012755441808;11420;0;1800000
Bar;1;2003/09/25 07:00:00.000;CAC 40;FCEU3^0;3002.863211783602;3015.4469936737396;2994.4740238568434;3011.718465706291;3011.718465706291;21347;0;3600000
Bar;1;2003/09/25 08:00:00.000;CAC 40;FCEU3^0;3011.718465706291;3018.2433896493258;3002.397145787671;3002.397145787671;3002.397145787671;19953;0;3600000
Bar;1;2003/09/25 09:00:00.000;CAC 40;FCEU3^0;3001.9310797917396;3007.057805746981;2991.677627881257;3003.3292777795327;3003.3292777795327;13536;0;3600000
Bar;1;2003/09/25 10:00:00.000;CAC 40;FCEU3^0;3003.3292777795327;3008.922069730705;3000.998947799878;3007.057805746981;3007.057805746981;2882;0;3600000
Bar;1;2003/09/25 11:00:00.000;CAC 40;FCEU3^0;3007.057805746981;3016.379125665602;3004.261409771395;3008.922069730705;3008.922069730705;4088;0;3600000
